station_id,timestamp,phase,event_type
2,1633705952,4,DONT_WALK
2,1633705956,2,WALK
2,1633705983,2,CLEARANCE
2,1633705998,2,DONT_WALK
2,1633706038,2,WALK
2,1633706063,2,CLEARANCE
2,1633706078,2,DONT_WALK
2,1633706120,2,WALK
2,1633706143,2,CLEARANCE
2,1633706158,2,DONT_WALK
2,1633706209,2,WALK
2,1633706223,2,CLEARANCE
2,1633706238,2,DONT_WALK
2,1633706243,4,WALK
2,1633706250,4,CLEARANCE
2,1633706272,4,DONT_WALK
2,1633706278,2,WALK
2,1633706303,2,CLEARANCE
2,1633706318,2,DONT_WALK
2,1633706353,2,WALK
2,1633706383,2,CLEARANCE
2,1633706398,2,DONT_WALK
2,1633706437,2,WALK
2,1633706463,2,CLEARANCE
2,1633706478,2,DONT_WALK
2,1633706483,4,WALK
2,1633706491,4,CLEARANCE
2,1633706513,4,DONT_WALK
2,1633706518,2,WALK
2,1633706543,2,CLEARANCE
2,1633706558,2,DONT_WALK
2,1633706613,2,WALK
2,1633706625,2,CLEARANCE
2,1633706640,2,DONT_WALK
2,1633706645,4,WALK
2,1633706653,4,CLEARANCE
2,1633706675,4,DONT_WALK
2,1633706689,2,WALK
2,1633706705,2,CLEARANCE
2,1633706720,2,DONT_WALK
2,1633706749,2,WALK
2,1633706785,2,CLEARANCE
2,1633706800,2,DONT_WALK
2,1633706851,2,WALK
2,1633706865,2,CLEARANCE
2,1633706880,2,DONT_WALK
2,1633706916,2,WALK
2,1633706945,2,CLEARANCE
2,1633706960,2,DONT_WALK
2,1633707004,2,WALK
2,1633707025,2,CLEARANCE
2,1633707040,2,DONT_WALK
2,1633707093,2,WALK
2,1633707105,2,CLEARANCE
2,1633707120,2,DONT_WALK
2,1633707125,4,WALK
2,1633707133,4,CLEARANCE
2,1633707154,4,DONT_WALK
2,1633707173,2,WALK
2,1633707185,2,CLEARANCE
2,1633707200,2,DONT_WALK
2,1633707253,2,WALK
2,1633707265,2,CLEARANCE
2,1633707280,2,DONT_WALK
2,1633707333,2,WALK
2,1633707345,2,CLEARANCE
2,1633707360,2,DONT_WALK
2,1633707365,4,WALK
2,1633707373,4,CLEARANCE
2,1633707394,4,DONT_WALK
2,1633707399,2,WALK
2,1633707425,2,CLEARANCE
2,1633707440,2,DONT_WALK
2,1633707492,2,WALK
2,1633707505,2,CLEARANCE
2,1633707520,2,DONT_WALK
2,1633707548,2,WALK
2,1633707585,2,CLEARANCE
2,1633707600,2,DONT_WALK
2,1633707605,4,WALK
2,1633707613,4,CLEARANCE
2,1633707633,4,DONT_WALK
2,1633707652,2,WALK
2,1633707665,2,CLEARANCE
2,1633707680,2,DONT_WALK
2,1633707719,2,WALK
2,1633707745,2,CLEARANCE
2,1633707760,2,DONT_WALK
2,1633707765,4,WALK
2,1633707775,4,CLEARANCE
2,1633707795,4,DONT_WALK
2,1633707813,2,WALK
2,1633707825,2,CLEARANCE
2,1633707840,2,DONT_WALK
2,1633707877,2,WALK
2,1633707905,2,CLEARANCE
2,1633707920,2,DONT_WALK
2,1633707967,2,WALK
2,1633707985,2,CLEARANCE
2,1633708000,2,DONT_WALK
