station_ID,timestamp,ped_ID,speed,signal_state,phase,direction,crosswalk_zone
1,1633705314,351572,1.916376231,DONT_WALK,2,North,outside
1,1633705314,351572,2.048163621,DONT_WALK,2,North,outside
1,1633705314,351572,2.141288175,DONT_WALK,2,North,outside
1,1633705314,351572,2.209014908,DONT_WALK,2,North,outside
1,1633705314,351572,2.291424517,DONT_WALK,2,North,outside
1,1633705315,351572,2.392589556,DONT_WALK,2,North,east_crosswalk
1,1633705315,351572,2.612076785,DONT_WALK,2,North,east_crosswalk
1,1633705315,351572,2.621757963,DONT_WALK,2,North,east_crosswalk
1,1633705315,351572,2.683714784,DONT_WALK,2,North,east_crosswalk
1,1633705315,351572,2.753990227,DONT_WALK,2,North,east_crosswalk
1,1633705315,351572,2.833988462,DONT_WALK,2,North,east_crosswalk
1,1633705315,351572,2.818851194,DONT_WALK,2,North,east_crosswalk
1,1633705315,351572,2.936036666,DONT_WALK,2,North,east_crosswalk
1,1633705315,351572,2.912425309,DONT_WALK,2,North,east_crosswalk
1,1633705316,351572,2.878542379,DONT_WALK,2,East,east_crosswalk
1,1633705316,351572,2.878420291,DONT_WALK,2,East,east_crosswalk
1,1633705316,351572,2.985301562,DONT_WALK,2,East,east_crosswalk
1,1633705316,351572,2.967780831,DONT_WALK,2,East,east_crosswalk
1,1633705316,351572,2.954695258,DONT_WALK,2,East,east_crosswalk
1,1633705316,351572,3.015147512,DONT_WALK,2,East,east_crosswalk
1,1633705316,351572,2.948790447,DONT_WALK,2,East,east_crosswalk
1,1633705316,351572,2.946989209,DONT_WALK,2,East,east_crosswalk
1,1633705316,351572,3.009847095,DONT_WALK,2,East,east_crosswalk
1,1633705317,351572,3.017512326,DONT_WALK,2,East,east_crosswalk
1,1633705317,351572,3.022398778,DONT_WALK,2,East,east_crosswalk
1,1633705317,351572,2.948344305,DONT_WALK,2,East,east_crosswalk
1,1633705317,351572,2.975644792,DONT_WALK,2,East,east_crosswalk
1,1633705317,351572,2.920037922,DONT_WALK,2,East,east_crosswalk
1,1633705317,351572,2.90044991,DONT_WALK,2,East,east_crosswalk
1,1633705318,351572,2.494226274,DONT_WALK,2,East,east_crosswalk
1,1633705318,351572,2.495973221,DONT_WALK,2,East,east_crosswalk
